Name,Label,Parent,Provider,Domains,Description
AWS,Cloud Infrastructure,,Amazon,aws-commercial,is a secure cloud services platform, offering compute power, database storage, content delivery and other functionality to help businesses scale and grow.
AI and Machine Learning,AI and Machine Learning,AWS,Amazon,aws-commercial,
Apache MXNet on AWS,AI and Machine Learning,AI and Machine Learning,Amazon,aws-commercial,Scalable,High-performance Deep Learning
Comprehend,AI and Machine Learning,AI and Machine Learning,Amazon,aws-commercial,Discover Insights and Relationships in Text
Deep Learning AMIs,AI and Machine Learning,AI and Machine Learning,Amazon,aws-commercial,Quickly Start Deep Learning on EC2
DeepLens,AI and Machine Learning,AI and Machine Learning,Amazon,aws-commercial,Pairs a connected HD camera developer kit with a set of sample projects to help developers learn machine learning concepts using hands-on computer vision use cases
Lex,AI and Machine Learning,AI and Machine Learning,Amazon,aws-commercial,Build Voice and Text Chatbots
Machine Learning,AI and Machine Learning,AI and Machine Learning,Amazon,aws-commercial,Machine Learning for Developers
Polly,AI and Machine Learning,AI and Machine Learning,Amazon,aws-commercial,Turn Text into Lifelike Speech
Rekognition,AI and Machine Learning,AI and Machine Learning,Amazon,aws-commercial,Analyze Image and Video
SageMaker,AI and Machine Learning,AI and Machine Learning,Amazon,aws-commercial,Build, Train,and Deploy Machine Learning Models at Scale
TensorFlow on AWS,AI and Machine Learning,AI and Machine Learning,Amazon,aws-commercial,Open-source Machine Intelligence Library
Transcribe,AI and Machine Learning,AI and Machine Learning,Amazon,aws-commercial,Automatic Speech Recognition
Translate,AI and Machine Learning,AI and Machine Learning,Amazon,aws-commercial,Natural and Fluent Language Translation
Analytics,Analytics,AWS,Amazon,aws-commercial,
Athena,Analytics,Analytics,Amazon,aws-commercial,Query Data in S3 using SQL
CloudSearch,Analytics,Analytics,Amazon,aws-commercial,Managed Search Service
Data Pipeline,Analytics,Analytics,Amazon,aws-commercial,Orchestration Service for Periodic,Data-driven Workflows
Elasticsearch Service,Analytics,Analytics,Amazon,aws-commercial,Run and Scale Elasticsearch Clusters
EMR,Analytics,Analytics,Amazon,aws-commercial,Hosted Hadoop Framework
Glue,Analytics,Analytics,Amazon,aws-commercial,Prepare and Load Data
Kinesis,Analytics,Analytics,Amazon,aws-commercial,Work with Real-time Streaming Data
QuickSight,Analytics,Analytics,Amazon,aws-commercial,Fast Business Analytics Service
Application Integration,Application Integration,AWS,Amazon,aws-commercial,
MQ,Application Integration,Application Integration,Amazon,aws-commercial,Managed Message Broker for ActiveMQ
SNS,Application Integration,Application Integration,Amazon,aws-commercial,Simple Notification Service - Pub/Sub,Mobile Push and SMS
SQS,Application Integration,Application Integration,Amazon,aws-commercial,Simple Queue Service - Managed Message Queues
Step Functions,Application Integration,Application Integration,Amazon,aws-commercial,Coordinate Distributed Applications
AR and VR,AR and VR,AWS,Amazon,aws-commercial,
Sumerian,AR and VR,AR and VR,Amazon,aws-commercial,Build and Run VR and AR Applications
Business Productivity,Business Productivity,AWS,Amazon,aws-commercial,
Alexa for Business,Business Productivity,Business Productivity,Amazon,aws-commercial,Empower your Organization with Alexa
Chime,Business Productivity,Business Productivity,Amazon,aws-commercial,Frustration-free Meetings,Video Calls,and Chat
WorkDocs,Business Productivity,Business Productivity,Amazon,aws-commercial,Enterprise Storage and Sharing Service
WorkMail,Business Productivity,Business Productivity,Amazon,aws-commercial,Secure and Managed Business Email and Calendaring
Cloud Compute,Cloud Compute,AWS,Amazon,aws-commercial,
Batch,Cloud Compute,Cloud Compute,Amazon,aws-commercial,Run Batch Jobs at Any Scale
