Name,Label,Parent,Provider,Domains,Description
7-Zip,Program,,7-Zip,,
Amazon,Game,,Access,,
Re-Volt,Game,,Acclaim,,
Test Drive 4,Game,,Accolade,,
Test Drive 5,Game,,Accolade,,
Test Drive 6,Game,,Accolade,,
Earth Worm Jim,Game,,Activision,,
Hexen 2,Game,,Activision,,
Mech Warrior 2,Game,,Activision,,
Quake 2,Game,,Activision,,
Return to Zork,Game,,Activision,,
Star Trek Voyager Elite Force,Game,,Activision,,
Vampire the Masquerade,Game,,Activision,,
Zork Grand Inquisitor,Game,,Activision,,
Zork nemesis,Game,,Activision,,
Adobe Photoshop,Program,,Adobe,,
Winamp,Audio,,AOL,,
Netscape,Browser,,AOL,,
AOL,Online Service,,AOL,,
ICQ,Program,,AOL,,
OpenOffice,Program,,Apache,,
Blake Stone,Game,,Apogee,,
Safari,Browser,,Apple,,
macOS,Operating system,,Apple,,
Sanitarium,Game,,ASC Games,,
Brood War,Game,,Blizzard,,
Diablo,Game,,Blizzard,,
Diablo 2,Game,,Blizzard,,
Starcraft,Game,,Blizzard,,
Starcraft Brood War,Game,,Blizzard,,
Warcraft,Game,,Blizzard,,
Warcraft II,Game,,Blizzard,,
Myst,Game,,Broderbund,,
Theme Park,Game,,Bull Frog,,
Magic Carpet,Game,,Bullfrog,,
Abuse,Game,,Bungie Software,,
Corel Draw,Program,,Corel,,
Tomb Raider,Game,,Eidos,,
Tomb Raider 2,Game,,Eidos,,
Alice,Game,,Electronic Arts,,
Black and White,Game,,Electronic Arts,,
Dungeon Keeper,Game,,Electronic Arts,,
FIFA 2000,Game,,Electronic Arts,,
FIFA 96,Game,,Electronic Arts,,
FIFA 97,Game,,Electronic Arts,,
FIFA 99,Game,,Electronic Arts,,
Madden NFL 2000,Game,,Electronic Arts,,
Madden NFL 98,Game,,Electronic Arts,,
Madden NFL 99,Game,,Electronic Arts,,
NBA Live,Game,,Electronic Arts,,
Need 4 Speed,Game,,Electronic Arts,,
NHL,Game,,Electronic Arts,,
PGA Tour Golf,Game,,Electronic Arts,,
Sims,Game,,Electronic Arts,,
The Sims,Game,,Electronic Arts,,
Undying,Game,,Electronic Arts,,
Epic Pinball,Game,,Epic,,
Xargon,Game,,Epic,,
The Longest Journey,Game,,Funcom,,
Nocturne,Game,,God games,,
Rune,Game,,God games,,
Tropico,Game,,God games,,
Google Chrome,Browser,,Google,,
Google Docs,Word Processor,,Google,,
Blood,Game,,GT Interactive,,
Doom,Game,,GT Interactive,,
Doom 2,Game,,GT Interactive,,
Duke 3D,Game,,GT Interactive,,
Final Doom,Game,,GT Interactive,,
Putt-Putt Saves the Zoo,Game,,GT Interactive,,
Shadow Warrior,Game,,GT Interactive,,
Ultimate Doom,Game,,GT Interactive,,
Unreal Tournament,Game,,GT Interactive,,
Heretic,Game,,Id Software,,
Heretic 2,Game,,Id Software,,
Wolf 3-D,Game,,Id Software,,
Quake,Game,,IdSoftware,,
Quake 3,Game,,IdSoftware,,
Quake 3 - Team Arena,Game,,IdSoftware,,
Battle Chess,Game,,Interplay,,
Descent,Game,,Interplay,,
Descent II,Game,,Interplay,,
Fallout,Game,,Interplay,,
Fallout 2,Game,,Interplay,,
